wavelen, 	gth[Å]	flux(2.3atm CW)[n/s/cm^2/Str/Å/mA] (eff) (0.1Å ave)	ERROR (flux(CW)[n/s/cm^2/Str/Å/mA] (eff) (0.1Å ave))
0.663	,	5.637E+10	,	2.182E+10
0.770	,	1.184E+11	,	2.042E+10
0.876	,	1.184E+11	,	1.859E+10
0.983	,	1.608E+11	,	1.790E+10
1.089	,	1.854E+11	,	1.720E+10
1.196	,	2.223E+11	,	1.692E+10
1.302	,	2.694E+11	,	1.698E+10
1.409	,	2.921E+11	,	1.674E+10
1.515	,	2.912E+11	,	1.615E+10
1.622	,	3.222E+11	,	1.622E+10
1.728	,	3.098E+11	,	1.555E+10
1.835	,	3.333E+11	,	1.558E+10
1.941	,	3.213E+11	,	1.502E+10
2.048	,	2.906E+11	,	1.417E+10
2.154	,	2.741E+11	,	1.362E+10
2.261	,	2.651E+11	,	1.322E+10
2.367	,	2.574E+11	,	1.286E+10
2.474	,	2.536E+11	,	1.260E+10
2.580	,	2.279E+11	,	1.200E+10
2.687	,	2.392E+11	,	1.201E+10
2.793	,	2.015E+11	,	1.126E+10
2.899	,	2.231E+11	,	1.147E+10
3.006	,	2.088E+11	,	1.112E+10
3.112	,	1.931E+11	,	1.076E+10
3.219	,	1.914E+11	,	1.063E+10
3.325	,	1.573E+11	,	1.001E+10
3.432	,	1.758E+11	,	1.021E+10
3.538	,	1.779E+11	,	1.016E+10
3.645	,	1.435E+11	,	9.567E+09
3.751	,	1.440E+11	,	9.509E+09
3.858	,	1.174E+11	,	9.054E+09
3.964	,	1.332E+11	,	9.233E+09
4.071	,	1.206E+11	,	8.997E+09
4.177	,	1.065E+11	,	8.743E+09
4.284	,	9.746E+10	,	8.569E+09
4.390	,	9.923E+10	,	8.556E+09
4.497	,	9.221E+10	,	8.419E+09
4.603	,	8.044E+10	,	8.216E+09
4.710	,	7.749E+10	,	8.144E+09
4.816	,	8.063E+10	,	8.162E+09
4.923	,	6.993E+10	,	7.983E+09
5.029	,	6.731E+10	,	7.923E+09
5.136	,	6.792E+10	,	7.912E+09
5.242	,	5.959E+10	,	7.773E+09
5.349	,	5.667E+10	,	7.715E+09
5.455	,	4.090E+10	,	7.474E+09
5.562	,	4.438E+10	,	7.510E+09
5.668	,	5.121E+10	,	7.595E+09
5.775	,	3.872E+10	,	7.406E+09
5.881	,	3.808E+10	,	7.387E+09
5.988	,	3.567E+10	,	7.344E+09
6.094	,	4.387E+10	,	7.454E+09
6.201	,	3.070E+10	,	7.259E+09
6.307	,	2.088E+10	,	7.113E+09
6.414	,	2.576E+10	,	7.179E+09
6.520	,	2.066E+10	,	7.102E+09
6.627	,	2.671E+10	,	7.185E+09
6.733	,	2.592E+10	,	7.172E+09
6.840	,	2.161E+10	,	7.108E+09
6.946	,	1.927E+10	,	7.074E+09
7.052	,	1.712E+10	,	7.043E+09
7.159	,	1.536E+10	,	7.018E+09
7.265	,	1.790E+10	,	7.058E+09
7.372	,	1.262E+10	,	7.045E+09
7.478	,	1.106E+10	,	7.137E+09
7.585	,	2.654E+09	,	7.005E+09
7.691	,	1.675E+10	,	7.094E+09
7.798	,	5.008E+09	,	7.067E+09
7.904	,	6.382E+09	,	7.028E+09
8.011	,	8.738E+09	,	7.010E+09
8.117	,	5.406E+09	,	7.008E+09
8.224	,	-1.323E+10	,	7.156E+09
8.330	,	1.486E+09	,	6.953E+09
8.437	,	1.544E+10	,	7.172E+09
8.543	,	7.981E+09	,	6.981E+09
8.650	,	5.231E+09	,	6.981E+09
8.756	,	3.069E+09	,	7.030E+09
8.863	,	4.647E+09	,	6.977E+09
8.969	,	-3.047E+09	,	6.986E+09
9.076	,	-1.075E+10	,	7.075E+09
9.182	,	-5.626E+09	,	7.062E+09
9.289	,	-5.232E+09	,	7.117E+09
9.395	,	-5.045E+09	,	7.153E+09
9.502	,	5.471E+09	,	6.996E+09
9.608	,	-2.070E+09	,	7.021E+09
9.715	,	5.282E+09	,	7.091E+09
9.821	,	-1.084E+10	,	7.122E+09
9.928	,	2.110E+09	,	7.096E+09
10.034	,	-8.667E+09	,	7.176E+09
10.141	,	-9.077E+09	,	7.079E+09
10.247	,	-1.685E+09	,	7.070E+09
10.354	,	-1.887E+09	,	7.222E+09
10.460	,	9.936E+09	,	7.139E+09
10.567	,	-1.489E+09	,	7.157E+09
10.673	,	6.745E+09	,	7.215E+09
10.780	,	-2.304E+09	,	7.164E+09
10.886	,	8.176E+09	,	7.265E+09
10.993	,	1.726E+09	,	7.154E+09
11.099	,	4.765E+09	,	7.160E+09
11.205	,	-1.304E+10	,	7.224E+09
11.312	,	5.789E+09	,	7.283E+09
11.418	,	-1.102E+09	,	7.174E+09
